Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 12/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;0.52954292084726873;0.47045707915273133;836;8.3732057416267949E-2;809;165;0.20395550061804696;12;1.337792642E-2
2020;11;6434;45;0.56281094527363185;0.43718905472636815;5770;5.3206239168110916E-2;5636;533;9.4570617459190917E-2;85;1.3211066210000001E-2
2020;12;22447;45;0.54998885669712505;0.45001114330287495;20191;3.8928235352384724E-2;19407;2232;0.1150100479208533;478;2.1294605059999999E-2
2020;13;33993;48;0.49501015631899675;0.5049898436810033;30845;3.2938887988328738E-2;29538;5148;0.17428397318708105;1465;4.3097108219999999E-2
2020;14;36080;51;0.45065461000776658;0.54934538999223348;32056;5.5496630895932118E-2;31636;6094;0.19262865090403339;2259;6.2610864739999994E-2
2020;15;27185;52;0.43488509133765468;0.56511490866234526;23603;8.4607888827691394E-2;24170;4735;0.19590401323955317;1880;6.9155784430000006E-2
2020;16;17360;51;0.44732137708321318;0.55267862291678682;14884;0.115;15541;3381;0.21755356798146838;1217;7.0103686629999995E-2
2020;17;12379;50;0.44968451706843554;0.55031548293156451;10282;0.139;10998;2241;0.20376432078559739;721;5.8243799979999997E-2
2020;18;7441;48;0.47767616998386231;0.52232383001613769;6258;0.176;6611;1365;0.20647405838753594;386;5.1874748009999999E-2
2020;19;6240;47;0.48010907924286172;0.51989092075713828;5249;0.196;5633;1082;0.19208237173797266;257;4.118589743E-2
2020;20;4768;45;0.49475010499790006;0.50524989500209994;3952;0.231;4250;766;0.18023529411764705;164;3.4395973150000002E-2
2020;21;3613;43;0.50277623542476402;0.49722376457523598;2834;0.263;3122;515;0.16495836002562461;113;3.1275947960000001E-2
2020;22;3204;42;0.51566416040100249;0.48433583959899751;2545;0.232;2768;421;0.15209537572254336;65;2.028714107E-2
2020;23;2352;39;0.50660417554324666;0.49339582445675328;1837;0.232;2080;308;0.14807692307692308;45;1.9132653060000001E-2
2020;24;2342;37;0.5358215358215358;0.4641784641784642;1743;0.244;2088;288;0.13793103448275862;33;1.409052092E-2
2020;25;4125;36;0.58829244595579311;0.41170755404420695;2935;0.251;3771;319;8.4592946168125169E-2;41;9.9393939300000001E-3
2020;26;3213;37;0.55126207541290118;0.44873792458709877;2331;0.233;2864;296;0.10335195530726257;23;7.1584189200000004E-3
2020;27;2691;36;0.52118959107806695;0.47881040892193311;2065;0.267;2466;259;0.10502838605028386;26;9.6618357399999993E-3
2020;28;2427;36;0.5590421139554087;0.44095788604459124;1934;0.239;2193;256;0.11673506611947104;25;1.0300782850000001E-2
2020;29;3016;36;0.52509139248919912;0.47490860751080094;2358;0.229;2647;318;0.12013600302228938;30;9.9469495999999994E-3
2020;30;3928;36;0.52322613578356303;0.47677386421643697;3182;0.274;3477;334;9.6059821685360938E-2;33;8.4012219900000008E-3
2020;31;4822;36;0.5021815915229586;0.49781840847704134;3713;0.246;4175;389;9.3173652694610781E-2;32;6.6362505100000004E-3
2020;32;6057;34;0.53662973375227385;0.46337026624772615;4552;0.300;5286;399;7.5482406356413165E-2;31;5.1180452299999998E-3
2020;33;7949;32;0.53409807134753562;0.46590192865246438;5854;0.333;7009;438;6.2491082893422742E-2;30;3.7740596299999998E-3
