Die dem RKI übermittelte COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 12/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;895;43;0.53072625698324027;0.46927374301675978;836;8.3732057416267949E-2;807;162;0.20074349442379183;12;1.3407821219999999E-2
2020;11;6431;45;0.56276248250116656;0.43723751749883338;5771;5.3023739386588116E-2;5631;529;9.394423725803587E-2;85;1.321722904E-2
2020;12;22440;45;0.54993757802746568;0.45006242197253432;20197;3.8966183096499483E-2;19396;2218;0.11435347494328728;478;2.130124777E-2
2020;13;33999;48;0.49501133119463164;0.5049886688053683;30856;3.2927145449831476E-2;29541;5137;0.1738939101587624;1466;4.3118915260000001E-2
2020;14;36083;51;0.45070031895714879;0.54929968104285121;32068;5.5475863789447424E-2;31637;6086;0.19236969371305748;2258;6.2577945290000006E-2
2020;15;27181;52;0.43494916752615292;0.56505083247384702;23607;8.4593552759774648E-2;24163;4726;0.19558829615527873;1879;6.9129171109999998E-2
2020;16;17365;51;0.44719243629655253;0.55280756370344752;14890;0.115;15541;3374;0.21710314651566823;1217;7.0083501290000003E-2
2020;17;12375;50;0.44966823110535686;0.55033176889464319;10284;0.139;10993;2235;0.20331119803511324;720;5.8181818179999997E-2
2020;18;7444;48;0.47761795940314561;0.52238204059685445;6259;0.176;6612;1362;0.20598911070780399;386;5.1853842019999999E-2
2020;19;6239;47;0.48002566982191563;0.51997433017808437;5248;0.196;5632;1080;0.19176136363636365;256;4.1032216699999999E-2
2020;20;4758;45;0.49452861952861954;0.50547138047138052;3953;0.231;4235;750;0.17709563164108619;163;3.4258091630000001E-2
2020;21;3621;43;0.50277161862527719;0.49722838137472286;2835;0.263;3122;514;0.16463805253042921;113;3.1206848929999999E-2
2020;22;3205;42;0.51581584716567497;0.48418415283432509;2547;0.232;2769;419;0.15131816540267246;65;2.0280811230000001E-2
2020;23;2352;39;0.50660417554324666;0.49339582445675328;1837;0.232;2080;308;0.14807692307692308;45;1.9132653060000001E-2
2020;24;2342;37;0.5358215358215358;0.4641784641784642;1743;0.244;2088;288;0.13793103448275862;33;1.409052092E-2
2020;25;4125;36;0.58829244595579311;0.41170755404420695;2935;0.251;3771;319;8.4592946168125169E-2;41;9.9393939300000001E-3
2020;26;3213;37;0.55126207541290118;0.44873792458709877;2331;0.233;2864;296;0.10335195530726257;23;7.1584189200000004E-3
2020;27;2691;36;0.52118959107806695;0.47881040892193311;2065;0.267;2466;259;0.10502838605028386;26;9.6618357399999993E-3
2020;28;2428;36;0.55963681386710684;0.4403631861328931;1934;0.239;2195;256;0.11662870159453304;25;1.029654036E-2
2020;29;3015;36;0.52493351063829785;0.47506648936170215;2358;0.229;2646;318;0.12018140589569161;30;9.9502487499999997E-3
2020;30;3929;36;0.52334779280428678;0.47665220719571322;3182;0.274;3477;334;9.6059821685360938E-2;33;8.3990837299999996E-3
2020;31;4817;36;0.50270382695507487;0.49729617304492513;3705;0.246;4166;389;9.3374939990398462E-2;31;6.4355407900000003E-3
2020;32;6056;34;0.53671849156467089;0.46328150843532917;4549;0.300;5283;399;7.5525269733106193E-2;31;5.1188903500000004E-3
2020;33;7949;32;0.5339720156309089;0.46602798436909115;5851;0.332;7007;438;6.2508919651776795E-2;30;3.7740596299999998E-3
2020;34;9591;32;0.54729446308724827;0.45270553691275167;7202;0.346;8307;434;5.2245094498615627E-2;30;3.12793243E-3
2020;35;8821;32;0.53074027603513174;0.46925972396486826;6872;0.307;7425;367;4.9427609427609424E-2;19;2.1539507899999998E-3
2020;36;8619;33;0.53650571495218102;0.46349428504781898;6656;0.272;7085;397;5.6033874382498239E-2;36;4.1768186499999997E-3
2020;37;9773;35;0.5182556824025506;0.48174431759744935;7606;0.205;8035;464;5.7747355320472933E-2;66;6.7532998999999998E-3
2020;38;12294;36;0.51214128035320083;0.48785871964679911;9765;0.187;10062;674;6.6984694891671637E-2;79;6.4258988100000004E-3
2020;39;13063;37;0.51634741133933382;0.48365258866066618;10359;0.182;10849;771;7.1066457738040378E-2;107;8.1910740199999995E-3
2020;40;15930;38;0.51942572885838423;0.48057427114161577;12605;0.176;13474;873;6.4791450200385931E-2;121;7.5957313200000001E-3
2020;41;26126;39;0.51037264694583173;0.48962735305416827;20089;0.166;21537;1586;7.364071133398338E-2;239;9.1479751899999993E-3
2020;42;42087;39;0.50856242088418635;0.49143757911581359;30857;0.160;33681;2324;6.9000326593628453E-2;455;1.0810939239999999E-2
2020;43;74828;40;0.50165180489901162;0.49834819510098838;52372;0.155;58082;4096;7.0520987569298574E-2;986;1.3176885649999999E-2
2020;44;111096;41;0.49730199543693188;0.50269800456306812;75593;0.158;83889;5902;7.0354873702154042E-2;1579;1.421293295E-2
2020;45;125805;41;0.4912811886739557;0.50871881132604424;84713;0.153;92597;6820;7.3652494141278876E-2;1847;1.4681451450000001E-2
2020;46;127868;42;0.48458733841564466;0.51541266158435528;85460;0.149;94318;7462;7.9115333234377319E-2;2449;1.915256358E-2
2020;47;128476;43;0.47446840195317702;0.52553159804682292;86020;0.149;93881;8003;8.5246215954239937E-2;3124;2.4315825520000001E-2
