Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16
45 - 49;1.88;14.11;39.94;55.35;51.45;36.31;22.26;14.89;8.89;8.48;6.26;4.8;4.0599999999999996;3.05;2.75;7.11;5.27;4.17;3.41;4.4000000000000004;6.35;7.3;8.67;10.9;13.18;11.43;11.64;13.14;16.61;17.010000000000002;22.74;38.630000000000003;59.3;110.25;158.94999999999999;179.77;176.28;183.58;171.86;175.18;210.55;236;184.61;162.38;185.67;151.04;122.79;100.6;85.07;67.47;71.55;76.91;81.540000000000006;98.59;123.66;155.4;151.66999999999999;166.38;193.03;201.26
40 - 44;1.73;11.51;36.67;47.36;46.97;34.18;20.84;14.2;9.2899999999999991;8.25;7.27;4.97;4.32;3.59;3.2;9.23;5.56;4.3600000000000003;3.87;5.09;6.54;8.74;9.9600000000000009;13.02;14.57;13.44;13.16;13.99;17.170000000000002;17.52;21.43;38.07;59.16;107.96;160.46;180.93;183.11;188.12;179.44;179.89;222.14;244.35;194.01;163.6;194.17;154.04;126.87;104.3;87.39;70.75;73.19;84.46;87.21;108.96;142.63999999999999;186;170.18;189.35;218.62;219.47
35 - 39;1.27;10.32;33.14;44.98;41.69;31.2;18.55;14.46;8.73;7.96;6.67;5.22;4.54;2.95;3.67;7.26;5.65;4.25;3.86;4.75;6.77;7.24;9.74;12.16;14.35;13.54;12.27;13.25;17.05;19.04;21.8;34.5;58.7;101.96;152.88;169.34;173.79;174.03;164.73;172.82;207.97;231.13;180.25;153.01;191.69;151.59;119.87;98.46;84.63;68.08;70.5;79.239999999999995;86.82;109.17;144.19999999999999;179.23;170.4;179.76;213.38;211.87
30 - 34;1.26;9.77;37.32;47.95;44;31.81;21.93;16.489999999999998;10.210000000000001;8.86;7.17;5.8;4.91;3.75;4.08;7.5;6.04;4.68;4.71;5.44;6.97;7.7;9.35;12.74;17.2;15.61;17.09;17.07;22;23.67;27.73;42.92;70.2;122.17;174.15;190.89;190.77;183.58;170.64;172.57;209.82;236.98;182.98;167.38;211.15;164.78;127.88;105.17;89.49;71;74.819999999999993;82.65;89.34;109.76;143.86000000000001;179.89;173.72;184.98;219.12;214.39
25 - 29;1.5;10.78;39.31;52.99;48.97;38.090000000000003;25.46;19.61;13.42;10.29;7.71;6.82;6.23;4.3899999999999997;4.79;7.71;6.42;6.21;4.47;6.07;8.06;10.050000000000001;11.96;16.510000000000002;23.55;24.06;22.82;24.24;29.22;28.36;34.39;52.95;88.3;144.16999999999999;203.65;219.75;210.84;195.76;177.56;180.26;212.91;238.98;186.15;166.03;212.81;168.23;126.1;105.49;88.54;72.069999999999993;76.930000000000007;81.92;84.26;108.03;138.36000000000001;166.46;165.42;181.99;215.94;212.14
20 - 24;1.52;7.01;31.36;49.26;48.69;37.67;26.69;20.79;12.91;11;9.09;6.84;6.27;4.97;5.4;8.2200000000000006;5.64;5.6;5.14;6.51;8.1999999999999993;11.31;16.170000000000002;25.28;33.5;28.82;27.12;27.91;32.94;34.39;37.799999999999997;60.5;95.13;163.85;226.15;254.6;239.41;221.79;194.14;199.5;234.31;262.76;197.18;186.55;236.28;184.86;139.83000000000001;113.79;95.11;79.33;86.02;91.18;95.63;118.15;150.09;186.48;185.7;212.94;251.82;243.21
15 - 19;1.07;4.62;13.66;23.81;27.29;21.7;14.5;10.23;6.7;6.6;4.62;3.86;4.0599999999999996;4.0599999999999996;2.82;6.09;4.29;3.5;3.81;4.8499999999999996;6.27;9.27;13.76;18.84;22.34;21.17;19.55;21.1;26.43;26.5;33.71;52.5;75.14;123.35;182.62;213.44;220.93;208.29;189.3;196.18;224.26;214.97;149.19;125.81;161.93;137.29;106.85;88.27;74.23;60.32;66.56;78.09;81.819999999999993;104.31;140.99;182.75;167.8;192.35;274.89999999999998;260.38
14 - 10;0.54;2.73;6.83;10.24;11.61;8.24;6.37;5.08;3.67;3.38;3.19;2.89;3.21;2.78;3.21;5.19;3.94;2.84;2.78;3.97;5.16;6.78;9.83;14.69;15.58;13.04;11.61;13.45;13.99;15.8;19.149999999999999;30.84;44.61;74;110.32;128.84;144.08000000000001;143.18;140.16;139.38;153.88;142.91;91.28;71.569999999999993;89.85;73.64;59.98;50.69;46.67;38.130000000000003;42.62;50.91;62.38;77.72;112.7;154.93;131.19;139.59;207.43;233.71
5 - 9;0.27;1.5;4.53;6.65;7.86;6.36;4.37;4.1100000000000003;3.22;2.82;2.98;2.12;3.03;2.66;3.3;4.72;3.7;3.3;3.09;3.65;4.05;5.31;7.65;10.95;10.199999999999999;9.4700000000000006;8.5299999999999994;8.69;9.5299999999999994;10.41;11.59;16.8;26.11;49.13;74.86;90.23;97;105.1;102.34;98.79;114.46;115.78;81.22;52.03;64.23;59.16;51.01;44.14;43.01;37.35;41.67;53.82;73.41;98.61;128.01;180.15;139.79;126.4;187.77;223.59
0 - 4;0.23;0.91;3.61;6.41;6.84;5.98;4.0599999999999996;4.67;3.33;3.48;2.93;3.13;2.2200000000000002;2.7;2.78;4.01;3.41;3.61;3.71;3.53;4.0599999999999996;3.79;4.7699999999999996;6.97;7.14;5.63;5.73;5.71;7.35;7.6;8.18;13.2;22.42;36.75;56.42;60.96;61.04;60;58.64;58.19;67.3;78.510000000000005;53.37;38.57;48.29;46.98;42.86;38.770000000000003;38.17;34.08;34.79;47.63;60.11;75.81;102.39;127.05;113.12;101.91;128.72;140.61000000000001
