Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5
45 - 49;1.88;14.03;39.86;55.41;51.6;36.43;22.26;14.96;8.89;8.4600000000000009;6.26;4.82;4.0599999999999996;3.09;2.75;7.13;5.25;4.1900000000000004;3.43;4.4000000000000004;6.35;7.32;8.65;10.88;13.16;11.42;11.64;13.16;16.57;17.03;22.74;38.69;59.39;110.18;159.06;179.6;176.13;183.37;171.88;175.09;210.26;235.92;184.49;162.25;185.82;151.41999999999999;122.67;101.07;84.82
40 - 44;1.73;11.57;36.75;47.46;47.04;34.119999999999997;20.88;14.2;9.27;8.25;7.25;4.95;4.34;3.56;3.22;9.25;5.54;4.3600000000000003;3.89;5.13;6.56;8.74;9.9600000000000009;13.08;14.59;13.46;13.18;14.02;17.21;17.54;21.39;38.090000000000003;59.24;107.98;160.4;180.83;182.95;188.14;179.34;179.89;221.9;244.57;194.17;163.84;193.97;154.16999999999999;127.09;104.6;87.08
35 - 39;1.25;10.34;33.18;45.07;41.71;31.25;18.57;14.43;8.77;7.98;6.67;5.2;4.54;2.97;3.69;7.24;5.63;4.2699999999999996;3.89;4.75;6.86;7.24;9.7200000000000006;12.18;14.41;13.54;12.31;13.22;17.07;19.04;21.84;34.54;58.72;102;152.80000000000001;169.31;173.54;173.9;164.83;172.79;207.82;231.19;180.06;153.26;191.6;151.93;120.15;98.84;84.1
30 - 34;1.26;9.7200000000000006;37.32;48;44.02;31.84;21.89;16.54;10.23;8.8800000000000008;7.15;5.84;4.8899999999999997;3.75;4.0599999999999996;7.53;6.08;4.75;4.71;5.4;6.99;7.72;9.35;12.74;17.21;15.58;17.100000000000001;17.14;21.94;23.71;27.77;43;70.290000000000006;122.24;174.24;190.64;190.84;183.67;170.7;172.35;209.84;236.98;183.03;167.28;211.27;164.98;128.08000000000001;105.61;89.27
25 - 29;1.52;10.76;39.49;53.07;49.03;38.11;25.54;19.670000000000002;13.42;10.23;7.67;6.9;6.25;4.3899999999999997;4.79;7.78;6.4;6.21;4.47;6.07;8.08;10.029999999999999;11.94;16.53;23.55;24.1;22.86;24.26;29.24;28.38;34.33;52.99;88.27;144.19;203.65;219.67;210.92;195.96;177.38;180.06;212.67;238.86;186.11;166.32;212.91;168.67;126.38;105.61;88.23
20 - 24;1.52;7.05;31.46;49.34;48.67;37.65;26.8;20.85;12.91;11.02;9.0299999999999994;6.81;6.27;4.99;5.4;8.16;5.64;5.62;5.14;6.57;8.2200000000000006;11.28;16.190000000000001;25.32;33.590000000000003;28.75;27.12;28.04;32.94;34.369999999999997;37.78;60.58;95.06;163.98;226.48;254.86;239.45;221.72;194.12;199.31;234.14;262.8;196.97;186.83;236.52;185.14;140.16;114.12;95.54
15 - 19;1.07;4.6500000000000004;13.76;23.81;27.37;21.73;14.52;10.210000000000001;6.73;6.57;4.59;3.91;4.1100000000000003;4.09;2.82;6.09;4.29;3.5;3.78;4.8499999999999996;6.27;9.24;13.78;18.84;22.36;21.15;19.55;21.15;26.38;26.58;33.74;52.52;75.290000000000006;123.25;182.57;213.44;220.96;208.21;189.4;195.95;224.33;214.94;148.99;126.09;161.91;137.38999999999999;107.03;88.57;73.47
10-14;0.54;2.75;6.83;10.24;11.59;8.16;6.37;5.08;3.67;3.38;3.16;2.94;3.21;2.78;3.21;5.19;3.94;2.84;2.75;4.0199999999999996;5.16;6.78;9.83;14.75;15.53;13.04;11.61;13.42;13.99;15.85;19.149999999999999;30.87;44.72;74.13;110.24;128.9;144.29;143.13;140.05000000000001;139.27000000000001;153.31;142.51;91.2;71.430000000000007;89.5;73.81;59.93;51.01;46.02
5-9;0.24;1.5;4.53;6.68;7.86;6.33;4.37;4.1100000000000003;3.22;2.82;2.98;2.17;3.03;2.66;3.3;4.72;3.73;3.33;3.09;3.7;4.0199999999999996;5.31;7.65;10.92;10.199999999999999;9.4700000000000006;8.5299999999999994;8.69;9.5;10.44;11.59;16.77;26.05;49.18;74.94;90.13;97.05;105.05;102.34;98.66;114.17;115.56;81.17;52.03;64.45;59.08;51.09;43.95;42.74
0 - 4;0.2;0.91;3.58;6.44;6.87;5.96;4.0599999999999996;4.67;3.33;3.48;2.9;3.08;2.2200000000000002;2.73;2.78;4.04;3.43;3.56;3.71;3.53;4.04;3.81;4.7699999999999996;6.97;7.14;5.63;5.76;5.76;7.32;7.62;8.1999999999999993;13.2;22.37;36.93;56.7;61.22;61.24;60.05;58.77;58.24;67.599999999999994;78.56;53.54;38.770000000000003;48.7;47.05;43.02;38.950000000000003;37.94
