<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
;;;;;;;;;;
Bauhauptgewerbe;;;;;;;;;;
;;;;;;;;;;
Index des Auftragseingangs1, 2 ;;;;;;;;;;
;  2019  ;  2020  ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Index der Beschäftigten4 ;;;;;;;;;;
Bauhauptgewerbe ;1.919625;1.462369;1.256732;1.257862;1.35257;1.66205;0.714286;-8.8652482268999994E-2;-0.266193;-2.046263
Bau von Gebäuden ;0.484473;3.9519443566234713E-2;-0.18622;-0.186567;-0.280899;9.6153846153999994E-2;0.657277;-0.186567;-0.46729;-2.253521
Tiefbau ;3.383951;2.192067;1.921397;1.657941;1.924759;2.135231;0.69025;-0.17138;0;-1.459227
Bau von Straßen und Bahnverkehrsstrecken ;3.833718;2.164887;1.643599;1.037165;1.5625;1.948627;0.599315;-0.510638;8.5543199316000004E-2;-1.623932
Bau von Straßen ;3.807783;1.74602;1.111111;0.682594;0.858369;1.229148;0.595238;-0.253593;-0.423729;-1.87234
Leitungstiefbau und Kläranlagenbau ;4.426405;3.028747;3.181427;3.436426;3.439381;3.31299;1.180438;0.333333;-8.3056478404999995E-2;-1.496259
;;;;;;;;;;
Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau ;3.370611;0.998638;0.979519;1.070473;1.252236;1.175407;0.8;-8.8183421516999996E-2;-8.8261253309999996E-2;-1.14841
Sonstiger Tiefbau ;0.711438;0.78404;0.549451;0.733272;0.734619;1.212687;0.365631;9.1074681239000005E-2;-0.181984;-1.093892
Abbrucharbeiten u. vorbereit. Baustellenarbeiten ;2.674732;2.4205;2.166667;2.246256;2.25;2.753873;0.656814;0.244698;-0.162734;-2.689487
Sonstige spezialisierte Bautätigkeiten ;2.405471;2.018884;1.88172;1.883408;2.164112;2.592593;0.887311;-8.7950747580999994E-2;-0.264085;-2.206531
Dachdeckerei und Zimmerei ;1.144258;1.785859;1.986755;2.083333;2.473834;2.81827;1.125704;0;-9.2764378479000001E-2;-1.76416
Dachdeckerei und Bauspenglerei ;0.546403;1.235076;1.157184;1.352657;1.747573;2.089552;0.671785;0;-9.5328884651999998E-2;-2.099237
Zimmerei und Ingenieurholzbau ;2.010692;2.3465;2.833638;2.836231;3.311868;3.745318;1.717902;-8.8888888888999998E-2;-8.8967971529999995E-2;-1.335708
Sonstige spezialisierte Bautätigkeiten a.n.g. ;3.600543;2.346084;2.037351;1.954121;2.222222;2.557319;0.754401;-0.166389;-0.333333;-2.759197
;;;;;;;;;;
Index des Umsatzes4 ;;;;;;;;;;
Bauhauptgewerbe ;5.10056;4.931939;1.709402;1.987663;6.016043;18.047527;10.783553;4.201681;6.586022;15.889029
Bau von Gebäuden ;4.118026;4.808089;3.076923;0;5.886628;20.052945;10.561056;2.313433;6.272794;24.502402
Tiefbau ;4.888626;2.712523;-2.356021;0.189274;0.649734;12.286064;10.029499;6.434316;7.304786;7.805164
Bau von Straßen und Bahnverkehrsstrecken ;4.247333;-0.265302;-4.072398;-4.061538;-0.298864;3.735824;8.63836;5.053908;6.991661;-6.77458
Bau von Straßen ;9.502801;3.319051;-0.380228;0.490798;3.152885;6.894198;10.860367;4.198473;5.860806;-9.688581
Leitungstiefbau und Kläranlagenbau ;10.270794;12.762216;5.053908;11.606557;6.670435;35.831622;11.756272;9.172547;10.869565;40.222576
;;;;;;;;;;
Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau ;8.426062;7.616343;6.8446269677999994E-2;10.605031;1.977232;33.130867;9.595202;11.28591;4.609711;41.656874
Sonstiger Tiefbau ;2.029162;0.154817;-4.583068;-6.2656641604000002E-2;-2.643948;1.135006;11.284336;6.40427;3.887147;2.172601
Abbrucharbeiten u. vorbereit. Baustellenarbeiten ;7.458667;11.282709;12.719892;11.419355;17.175573;20.559115;11.962366;3.661465;6.658946;12.37785
Sonstige spezialisierte Bautätigkeiten ;6.816073;7.109448;3.722262;6.04357;11.748252;22.259136;11.978362;4.140787;5.897946;15.14393
Dachdeckerei und Zimmerei ;5.496737;9.609568;5.336257;9.613984;13.81295;32.887701;13.464567;4.44136;5.116279;25.663717
Dachdeckerei und Bauspenglerei ;4.284874;6.815138;2.930403;8.295964;10.162003;26.086957;15.733114;3.131673;3.243616;18.248663
Zimmerei und Ingenieurholzbau ;7.256587;13.636364;9.031792;11.543811;19.090283;41.88862;10.307018;6.29556;7.730673;35.648148
Sonstige spezialisierte Bautätigkeiten a.n.g. ;8.050102;4.721589;2.178496;2.791014;9.96587;11.928429;10.570342;3.851444;6.688742;4.841713
;;;;;;;;;;
;;;;;;;;;;
1 In jeweiligen Preisen (Wertindizes). – 2 Betriebe des Bauhauptgewerbes von Unternehmen mit 20 und mehr tätigen Personen. – 3 Ohne Umsatzsteuer. – 4 Alle Betriebe Bauhauptge- ;;;;;;;;;;
werbes, Daten der Erhebung ergänzt um Verwaltungsdaten.;;;;;;;;;;
