<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
Produktionsindex für das Produzierende Gewerbe1 ;;;;;;;;;;
Originalwert;;;;;;;;;;
Produzierendes Gewerbe ;-3.314394;-7.443683;-2.343018;0;4.984093;-10.25641;3.066271;2.399232;-7.216495;-15.151515
;;;;;;;;;;
Produzierendes Gewerbe (ohne Baugewerbe) ;-4.471931;-9.561753;-3.657363;-1.347449;2.669633;-9.408034;2.983539;2.397602;-9.95122;-7.150596
Bergbau und Verarbeitendes Gewerbe ;-4.36019;-9.811695;-3.923445;-1.151631;3.020134;-9.787234;2.240326;2.589641;-10.582524;-7.926167
;;;;;;;;;;
Produzierendes Gewerbe (ohne Energie und Baugewerbe) ;-4.257332;-9.782609;-3.912214;-1.147228;3.128492;-9.766454;2.129817;2.681231;-10.73501;-7.908992
Vorleistungsgüter ;-3.608737;-6.009852;-1.220657;3.444882;10.480888;-3.5;4.885344;-9.5057034220999995E-2;-14.747859;7.700893
Investitionsgüter ;-4.541154;-14.767096;-6.003937;-3.954802;-1.467505;-14.692483;0.632244;6.806283;-7.843137;-20.319149
Konsumgüter ;-4.694836;-4.334975;-4.363636;-3.358209;1.849837;-11.995968;0.190476;-1.520913;-9.65251;-6.730769
Gebrauchsgüter ;-0.188857;-6.811731;-3.776824;1.938326;3.375527;-10.109019;0;3.211418;-15.298185;-7.44898
Verbrauchsgüter ;-5.534709;-3.87289;-4.41989;-4.442344;1.423877;-12.537917;0.19305;-2.601156;-8.407517;-6.587473
Energie (ohne Abschnitt E) ;-7.201646;-6.54102;0.434311;-3.37197;-2.736842;-4.618474;15.049751;-0.864865;0.763359;2.813853
Energie (ohne Abschnitte D und E) ;-12.110727;-3.543307;-2.448454;1.490515;-3.771131;-3.904282;5.578801;-1.056803;-1.201602;3.108108
Bergbau und Gewinnung von Steinen und Erden ;-13.431151;-5.084746;-2.798054;3.217503;4.186047;-2.1875;3.229974;0.375469;-16.209476;-6.845238
Kohlenbergbau ;-49.779087;-17.302053;8.928571;-2.337662;13.770492;15.238095;17.307692;2.73224;-7.712766;4.610951
Gewinnung von Erdöl und Erdgas ;-5.776637;-7.901907;-23.319616;-3.399433;-2.811245;-1.486486;0.902527;22.003578;6.451613;0.413223
;;;;;;;;;;
