<< Inhaltsverzeichnis;;;;;;;;
"Statistische Wochenberichte
Ausgewählte Konjunkturindikatoren";;;;;;;;
;Veränderung in %;;;;;;;
;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Großhandel1;;;;;;;;
Beschäftigte ;-1.224105;-1.036758;-0.946074;-1.233397;-9.5238095238000003E-2;9.5328884651999998E-2;-0.285714;-0.573066
Umsatz nominal2 ..............................................................................................................;0.335289;1.205857;7.479224;-8.52429;2.307692;-1.837928;-0.93617;-14.261168
Umsatz real3 ..............................................................................................................;2.428448;3.111111;8.831909;-8.095238;2.606429;-1.778154;-1.206897;-15.794066
;;;;;;;;
;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Einzelhandel4;;;;;;;;
Beschäftigte ;0.667302;0.283822;0.37843;-9.5969289826999996E-2;0.2849;0.378788;9.4339622642000007E-2;-1.885014
Umsatz nominal2 ..............................................................................................................;10.677966;6.902087;5.407464;-7.937956;8.924103;1.990812;3.903904;-27.095376
Umsatz real3 ..............................................................................................................;9.435626;6.010017;4.268775;-9.271523;8.669002;2.336825;3.858268;-27.293404
;;;;;;;;
;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Kfz-Handel und Tankstellen5;;;;;;;;
Beschäftigte ;-2.189781;-2.100457;-2.112029;-2.310536;-0.18622;0;-0.559701;-0.844278
Umsatz nominal2 ..............................................................................................................;6.021341;8.320251;16.276978;-21.378709;5.779468;-0.790798;-6.304348;-30.317092
Umsatz real3 ..............................................................................................................;4.109589;6.5;14.189837;-22.211896;5.988515;-1.083591;-6.807512;-29.722922
;;;;;;;;
;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Gastgewerbe ;;;;;;;;
Beschäftigte ;-14.36673;-23.938224;-28.296439;-28.33002;-2.47578;-13.024283;-5.456853;-3.221477
Umsatz nominal2 ..............................................................................................................;-26.595745;-65.504915;-69.709898;-68.918919;-12.573099;-56.96767;-8.031088;-15.774648
Umsatz real3 ..............................................................................................................;-30.243024;-67.19057;-71.134021;-69.942857;-12.626832;-56.903226;-7.784431;-14.61039
;;;;;;;;
