<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen;;;;;;;;;
;;;;;;;;;
i n  j e w e i l i g e n  P r e i s e n;;;;;;;;;
Mrd. EUR;;;;;;;;;
Sonstige Anlagen ;3.868454;4.465593;2.733006;-1.057299;2.640057;-1.094092;-1.357785;-0.736632;-1.033453
Vorratsveränderungen und Nettozugang an Wertsachen ;0.8;-0.1;-0.7;-0.8;-1.1;-0.7;-0.3;-1.8;-0.4
Inländische Verwendung ;2.66809;1.776602;1.244197;-4.236977;0.235699;-1.002879;-8.350419;-3.933448;-3.680926
Außenbeitrag ;0.1;-0.4;-0.6;-0.9;0;-0.9;-3.5;-0.2;0.8
Exporte ;4.742852;2.28268;0.956458;-9.365695;0.817364;-3.179864;-22.33558;-9.199134;-2.90064
abzüglich: Importe ;5.311513;3.644129;2.560281;-8.455159;0.886691;-1.605109;-17.214465;-9.92734;-5.138173
Bruttoinlandsprodukt ;2.601976;1.267995;0.555451;-4.896545;0.232472;-1.80519;-11.294609;-3.907555;-2.708971
;;;;;;;;;
;;;;;;;;;
1 Wachstumsbeitrag zum Bruttoinlandsprodukt in %-Punkten.;;;;;;;;;

Grundsätzlich sind die Ergebnisse der letzten 3 Jahre vorläufig.;;;;;;;;;
