<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Handel, Gastgewerbe, Tourismus ;;;;;;;;;;
Umsatz in jeweiligen Preisen1;;;;;;;;;;
Großhandel (Gh.)2 ........................................................................................;1.624549;-0.35524;0.335289;1.205857;7.479224;-8.52429;2.307692;-1.837928;-0.93617;-14.261168
darunter:;;;;;;;;;;
Gh. mit Nahrungsmitteln, Genussmittel, Getränken und;;;;;;;;;;
Übernachtungen5 .............................................................................;4.047502;3.676438;-27.194687;-71.410445;-78.40054;-76.311332;-19.092729;-72.084985;-28.026251;-4.636003
Inländer ;3.936651;3.929441;-18.068993;-68.329981;-75.486473;-73.956811;-17.556446;-73.148102;-28.089103;-5.578278
Ausländer ;4.543863;2.550144;-72.048265;-84.714688;-89.487193;-86.308053;-36.216326;-56.768755;-27.463816;3.72322
;;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Verkehr;;;;;;;;;;
Güterverkehr;;;;;;;;;;
Beförderungsmenge ;;;;;;;;;;
Eisenbahnverkehr ............................................................................................. ;-0.399944;-5.994544;-1.79754;4.716443;9.082861;-1.586715;5.915546;-3.011718;-7.571833;3.909227
Binnenverkehr ;-3.106012;-7.428714;-3.722308;3.429042;5.343565;-4.047563;5.320262;-3.791545;-5.543961;0.829446
grenzüberschreitender Versand ;2.835408;-6.699339;-2.31663;2.769378;16.866251;4.863166;5.026753;-2.321199;-12.460376;15.129512
grenzüberschreitender Empfang ;9.419571;-7.642781;0.709735;8.76085;15.325197;8.141949;11.737231;-1.568764;-9.074898;7.454155
Durchgangsverkehr ;-1.10557;24.68256;19.697418;13.75252;23.180251;-14.541361;-1.046446;0.262055;-14.573319;3.76065
;;;;;;;;;;
;  2019  ;  2020  ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Binnenschifffahrt ;3.618957;-8.688336;-7.199132;2.103045;-5.458697;-5.3895;3.465713;18.744323;-11.211937;-3.114148
Binnenverkehr ;1.673347;-6.536107;-13.222632;-6.257088;-21.106484;-10.375124;-1.147327;10.744186;-15.944543;1.435358
grenzüberschreitender Versand ;10.453054;-0.150738;4.02491;9.241712;9.596383;3.372941;9.759379;19.12754;-9.561175;-8.71483
grenzüberschreitender Empfang ;0.337257;-13.338568;-8.96359;3.18122;-2.701744;-4.255652;5.064662;21.666527;-9.30323;0.247335
Durchgangsverkehr ;11.953596;-17.368803;-12.132353;1.683483;-12.216915;-28.475488;-13.800232;35.210414;-13.082822;-21.778878
;;;;;;;;;;
;;;;;;;;;;
1 Ohne Umsatzsteuer. – 2 Einschl. Handelsvermittlung. -  3 In Verkaufsräumen. – 4 Sowie Instandhaltung und Reparatur von Kraftfahrzeugen.– 5 In allen Beherbergungsstätten mit 9 ;;;;;;;;;;
und mehr Gästebetten und auf Campingplätzen.;;;;;;;;;;
