<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Grundzahlen";;;;;;;;;;
;Einheit;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
;;;;;;;;;;
Bauhauptgewerbe;;;;;;;;;;
;;;;;;;;;;
Index des Auftragseingangs1, 2 ;;;;;;;;;;
Bauhauptgewerbe ;2015 = 100;134.500000;145.500000;146.200000;133.600000;153.600000;144.600000;140.200000;151.400000;129.200000
Hochbau ;2015 = 100;131.100000;144.700000;144.800000;132.100000;159.300000;153.300000;147.600000;148.000000;135.000000
Tiefbau ;2015 = 100;138.400000;146.600000;147.800000;135.400000;147.100000;134.500000;131.500000;155.300000;122.400000
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;3. Vj 19;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;;
Index des Auftragsbestands1, 2 ;;;;;;;;;;
Bauhauptgewerbe ;2015 = 100;158.700000;180.500000;193.700000;181.500000;176.700000;193.700000;198.000000;195.100000;187.900000
Hochbau ;2015 = 100;156.000000;178.300000;189.300000;179.700000;179.300000;193.400000;189.200000;189.300000;185.400000
Wohnungsbau ;2015 = 100;165.300000;194.600000;203.800000;196.200000;193.800000;205.900000;200.000000;203.100000;206.000000
Tiefbau ;2015 = 100;161.600000;182.900000;198.500000;183.500000;173.800000;194.000000;207.700000;201.500000;190.700000
Straßenbau ;2015 = 100;183.500000;196.200000;205.500000;198.900000;173.600000;196.900000;222.900000;212.000000;190.300000
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Produktionsindex;;;;;;;;;;
Originalwert;;;;;;;;;;
Bauhauptgewerbe ;2015 = 100;117.400000;124.300000;131.000000;126.600000;147.600000;146.400000;144.300000;104.600000;84.600000
Hochbau ;2015 = 100;119.100000;126.300000;132.500000;126.300000;147.100000;146.700000;144.200000;106.700000;90.600000
Tiefbau ;2015 = 100;112.800000;119.100000;127.200000;127.500000;149.000000;145.500000;144.500000;99.300000;69.300000
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Tätige Personen2 ...............................................................................;1 000;463.744333;486.67125;504.770417;509.86;512.639;511.384;509.977;503.208;508.205
Geleistete Arbeitsstunden2 ...............................................................................;1 000;560798;585901;612765;49880;58170;57367;56672;40426;32240
im Hochbau ;1 000;285850;299134;310200;24627;28669;28559;28075;20770;18093
Wohnungsbau ;1 000;139860;147293;156401;12247;14641;14588;14447;10672;8588
Gewerblicher Hochbau ;1 000;113000;116920;116801;9347;10571;10593;10238;7625;7489
Öffentlicher Hochbau ;1 000;32990;34921;36998;3033;3457;3378;3390;2473;2016
im Tiefbau ;1 000;274948;286767;302565;25253;29501;28808;28597;19656;14147
Straßenbau ;1 000;94767;97914;99726;8525;10019;9796;9591;6199;3598
Gewerblicher Tiefbau ;1 000;106237;111821;121634;10069;11462;11334;11258;8227;6809
Sonstiger öffentlicher Tiefbau ;1 000;73944;77032;81205;6659;8020;7678;7748;5230;3740
