<< Inhaltsverzeichnis;;;;;;;;
"Statistische Wochenberichte
Ausgewählte Konjunkturindikatoren";;;;;;;;
;Veränderung in %;;;;;;;
;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Arbeitsmarkt;;;;;;;;
;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Produktionsindex für das Bauhauptgewerbe5 .......................................................................................................................;3.829787;6.730769;5.02008;-20.786517;-0.813008;-1.434426;-27.512128;-19.120459
;;;;;;;;
;;;;;;;;
1 Ergebnisse der Erwerbstätigenrechnung im Rahmen der Volkswirtschaftlichen Gesamtrechnungen - vorläufige Ergebnisse. – 2 Quelle: Statistik der Bundesagentur für Arbeit. – 3 Nur ;;;;;;;;
ungeförderte Arbeitsstellen. Einschließlich der gemeldeten Arbeitsstellen mit dem Arbeitsort im Ausland. – 4 Angaben für Betriebe mit 50 und mehr tätigen Personen. – 5 Originalwert. ;;;;;;;;
"Aktueller Monat vorläufig. – 6 Nach der ""Klassifikation der Wirtschaftszweige, Ausgabe 2008 (WZ2008)"" – 7 Betriebe von Unternehmenmit im Allgemeinen 20 und mehr tätigen Per- ";;;;;;;;
sonen.;;;;;;;;
