<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
Index des Auftragseingangs1;;;;;;;;;;
Verarbeitendes Gewerbe2 ..................................................................................................;-5.151286;-6.651248;2.416357;8.604207;9.729188;-3.030303;4.454976;3.085299;-3.697183;-3.473492
Inland ;-5.617101;-5.397586;5.163853;8.514851;8.681319;-4.3095;5.059524;3.493862;-9.762774;-1.213347
Ausland ;-4.813665;-7.519615;0.620567;8.760485;10.348071;-2.105263;4.032997;2.819383;0.514139;-4.859335
Vorleistungsgüter ;-7.216727;-4.531136;4.545455;13.090551;14.412417;1.521934;6.976744;4.076087;-10.182768;9.883721
Inland ;-8.802031;-4.209905;8.1;15.555556;17.97066;0.473037;11.673554;5.827937;-15.646853;10.051813
Ausland ;-5.647042;-4.849795;1.255605;10.738255;11.290323;2.624894;2.636364;2.302923;-4.415584;9.782609
Investitionsgüter ;-4.196761;-8.769145;1.480111;6.899811;6.754221;-5.529522;3.490566;3.099362;0.618921;-11.42355
Inland ;-3.459909;-6.932141;3.8;4.32645;2.512563;-7.987867;0;2.2158;-3.864279;-10.784314
Ausland ;-4.561744;-9.849018;0.176991;8.402585;9.009009;-4.308797;5.498602;3.710247;3.06644;-11.900826
Konsumgüter ;-2.824601;-4.6882325363313271E-2;8.8339222615000004E-2;1.458523;14.270033;-6.060606;8.8339222615000004E-2;-1.765225;-6.469003;1.248799
Inland ;-1.761221;-1.42928;-1.838235;-1.765799;6.589595;-10.202117;3.088803;-1.029963;-12.771996;1.193059
Ausland ;-3.550253;0.884624;1.457976;3.770197;19.767442;-3.288364;-1.907131;-2.282333;-1.989619;1.235658
Gebrauchsgüter ;3.584985;3.535559;14.592934;3.613569;12.991453;-0.820896;6.7069081153999996E-2;-5.831099;-5.907473;0.529501
Inland ;1.129491;-4.806168;-7.800892;-5.350414;0.289855;-8.568905;-4.021655;1.208703;-17.356688;-0.289017
Ausland ;5.441619;9.588952;33.780584;10.514866;21.361502;3.846154;2.665051;-10.088496;1.771654;0.967118
Verbrauchsgüter ;-5.163001;-1.496711;-5.669145;0.494071;14.909091;-8.285714;0.197433;0.197044;-6.784661;1.582278
Inland ;-2.912375;-3.4779584383954898E-2;0.899101;-0.100908;9.158416;-10.724926;6.427819;-1.980198;-10.909091;1.927438
