<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
Außenhandel1;;;;;;;;;;
Ausfuhr insgesamt ;0.813047;-9.261908;-6.322506;-1.241649;2.968733;-7.880343;2.126428;-0.314846;-9.713788;-2.719299
Warengruppen:;;;;;;;;;;
Ernährungswirtschaft ;3.253711;-1.900717;-6.965527;-6.299094;-2.770734;-13.464517;1.726327;-2.747684;-6.846143;-4.00107
Gewerbliche Wirtschaft ;0.588439;-10.179013;-7.002343;-1.411894;1.220877;-9.110218;1.703133;-5.1596376254000001E-2;-11.168755;-2.532107
Rohstoffe ;15.54714;-23.393592;-14.400717;0.229038;5.81461;9.158301;-5.327572;17.817436;-7.677254;14.016225
Halbwaren ;3.116877;-7.450783;-5.605585;-7.4028156511999996E-2;1.313805;-3.450422;-3.946138;0.347813;-8.49406;13.19994
Fertigwaren ;0.241167;-10.115742;-6.977152;-1.506517;1.149162;-9.72758;2.118544;-0.293032;-11.363891;-3.659338
Vorerzeugnisse ;-2.952545;-8.877971;-8.287886;2.707009;5.654114;-5.740937;1.225111;2.706655;-17.733928;22.152688
Enderzeugnisse ;0.681886;-10.280383;-6.810448;-2.026699;0.638469;-10.318794;2.231485;-0.668495;-10.539478;-6.731287
Ländergruppen (Bestimmungsländer);;;;;;;;;;
Europa ;0.298635;-8.807584;-5.16324;-0.613118;3.678814;-8.152848;1.300739;-0.656225;-14.435428;3.396168
darunter:;;;;;;;;;;
EU-Länder (EU-27) ;-0.173483;-9.760472;-5.666303;-0.790906;4.12778;-8.047578;1.078788;-0.249337;-14.140439;3.857263
dar.: Länder der Eurozone ;-3.2700715946999998E-2;-10.404081;-6.272554;-1.657032;3.471144;-6.409285;4.8263394027999999E-2;0.236978;-12.918885;6.257848
EFTA-Länder ;3.301089;-1.37915;-4.861528;1.565181;-0.435987;-7.167331;7.7619799158999997E-2;2.717674;-20.784124;13.633877
Afrika ;4.90779;-15.16317;-8.135573;-1.538381;-9.345731;-13.377405;1.838565;0.858887;-0.276021;-6.047219
Amerika ;4.183628;-14.429892;-11.346885;-7.446533;4.349985;-7.077964;5.170036;-4.026294;-4.036682;-6.059355
dar.: NAFTA-Länder ;4.294121;-13.159985;-10.115246;-5.388251;5.805924;-7.484493;5.857539;-4.873621;-4.042253;-6.439362
