<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
;;;;;;;;;;
Ausbaugewerbe;;;;;;;;;;
;;;;;;;;;;
Tätige Personen1 ............................................................................................................................ ;4.174519;2.949287;3.438351;2.766282;2.651426;2.948184;2.32422;-0.268014;1.637148;-0.74479
Geleistete Arbeitsstunden1 ............................................................................................................................ ;4.046571;2.669757;3.802024;1.45405;1.914992;3.544666;2.363989;-0.900244;3.282096;-1.171341
Entgelte1 ............................................................................................................................ ;7.410452;5.094939;7.176513;3.599358;4.957738;4.799475;-6.238089;3.257845;1.066839;7.102823
Gesamtumsatz1, 2 ............................................................................................................................ ;8.443712;6.78766;9.763972;6.944181;-2.543489;12.508519;-31.136633;15.66452;1.028334;39.815011
dar.: Baugewerblicher Umsatz ;8.484609;6.885182;9.987636;6.953;-2.498823;12.63965;-31.323077;15.750598;1.191573;40.027351
;;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
;;;;;;;;;;
Index der Beschäftigten3;;;;;;;;;;
Ausbaugewerbe ;1.659554;0.979478;1.227573;0.562852;0.641613;1.492537;0;0;2.425373;-0.910747
Bauinstallation ;2.093133;1.612532;1.958955;1.396648;1.270417;1.829826;0;-0.365965;2.479339;-0.268817
Elektroinstallation ;2.410484;1.553931;2.224282;1.48423;0.98832;1.537071;-0.271248;-0.815956;2.74223;-8.8967971529999995E-2
Gas-, Wasser-, Heizungs-, sowie Lüftungs- und ;;;;;;;;;;
Klimainstallation ;1.740997;1.40647;1.516588;1.13852;1.295097;1.672862;-0.464684;-0.466853;2.72045;-9.1324200913000003E-2
Sonstige Bauinstallation ;2.305936;1.963847;2.07394;1.424755;1.671064;2.697842;1.798561;0.618375;1.492537;-1.211073
dar.: Dämmung gegen Kälte, Wärme, Schall und ;;;;;;;;;;
Erschütterung ;2.25256;2.136182;2.066487;1.863354;1.748252;2.882883;2.342342;1.056338;1.393728;-1.890034
Sonstiger Ausbau ;0.936824;0.309376;0.289017;-0.285171;9.3196644920999994E-2;1.154957;0.192493;0.768492;2.383222;-2.141527
dar.: Bautischlerei und -schlosserei ;1.008888;0.237812;0.575264;-0.478011;0;0.855513;-0.285171;-0.762631;2.209414;-0.281955
;;;;;;;;;;
Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei ;1.052878;1.018754;0.746965;0.370714;1.004566;1.955307;0.465549;0.370714;2.12373;-0.994575
Malerei und Glaserei ;0.539216;-0.511945;-0.793651;-1.065891;-0.756144;0.59761;-0.398406;2.1;2.840353;-3.809524
;;;;;;;;;;
Index des Umsatzes3;;;;;;;;;;
Ausbaugewerbe ;5.258467;6.244708;8.158996;3.185841;-0.488202;13.271824;-26.61462;12.765957;4.888508;30.498774
Bauinstallation ;6.186253;6.723742;8.282209;5.048716;-0.569569;13.145217;-27.116311;11.992446;3.035413;34.533552
Elektroinstallation ;6.895028;6.739715;8.704453;7.407407;-1.701783;11.951384;-27.481431;13.407821;-0.410509;36.685903
Gas-, Wasser-, Heizungs-, sowie Lüftungs- und ;;;;;;;;;;
Klimainstallation ;5.665849;6.987545;7.903056;4.787715;-1.234568;14.870396;-30.150068;13.28125;3.448276;40.333333
Sonstige Bauinstallation ;6.486132;6.296144;9.326923;2.107926;3.314917;10.339841;-17.787419;6.508355;8.092486;16.57754
dar.: Dämmung gegen Kälte, Wärme, Schall und ;;;;;;;;;;
Erschütterung ;6.225078;4.775808;6.342914;0.939368;2.733119;8.752735;-21.735959;10.158434;8.121827;16.666667
Sonstiger Ausbau ;3.692031;5.362571;8.087432;-0.264784;-0.325203;13.554217;-25.527108;14.256825;8.495575;23.001631
dar.: Bautischlerei und -schlosserei ;3.736413;5.479153;7.684211;-1.431127;0.166667;14.623001;-22.086824;7.722385;9.07441;25.207987
;;;;;;;;;;
Fußboden-, Fliesen- und Plattenlegerei, Tapeziererei ;4.253414;5.06764;7.85124;-0.43592;0.243506;12.366412;-20.305344;9.386973;8.143608;19.190283
Malerei und Glaserei ;3.196347;4.889381;8.820024;0.449236;-1.215559;11.769115;-31.55922;22.45345;9.033989;22.313372
;;;;;;;;;;
;;;;;;;;;;
1 Betriebe des Ausbaugewerbes von Unternehmen mit 20 und mehr tätigen Personen. Ab 2018 eingeschränkte Vergleichbarkeit aufgrund der Anhebung der Berichtskreisuntergrenze ;;;;;;;;;;
von 20 auf 23 und mehr tätige Personen. – 2 Ohne Umsatzsteuer. – 3 Alle Betriebe des Ausbaugewerbes, Daten der Erhebung ergänzt um Verwaltungsdaten.;;;;;;;;;;
