<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
Produktionsindex für das Produzierende Gewerbe1 ;;;;;;;;;;
Kalenderbereinigt;;;;;;;;;;
Produzierendes Gewerbe ;-3.119093;-8.390244;-3.142857;-2.483901;1.035197;-3.904555;2.727273;4.228122;-7.924528;-9.221311
;;;;;;;;;;
Produzierendes Gewerbe (ohne Baugewerbe) ;-4.273504;-10.416667;-4.305284;-3.6862;-1.085776;-3.111588;2.623295;4.192229;-10.598626;-0.878156
Bergbau und Verarbeitendes Gewerbe ;-4.162725;-10.661402;-4.576436;-3.578154;-0.873362;-3.027027;1.871102;4.489796;-11.328125;-1.211454
;;;;;;;;;;
Produzierendes Gewerbe (ohne Energie und Baugewerbe) ;-3.966006;-10.717797;-4.563107;-3.748828;-0.87146;-3.128371;1.865285;4.476094;-11.392405;-1.318681
Vorleistungsgüter ;-3.507109;-6.777996;-1.811249;1.161665;5.882353;2.738337;4.568528;1.456311;-15.598086;14.852608
Investitionsgüter ;-4.339623;-15.779093;-6.827309;-6.813996;-5.015353;-7.084785;0.215983;9.051724;-8.300395;-13.793103
Konsumgüter ;-4.498594;-5.201178;-4.889299;-5.417815;-2.123142;-6.339468;0;-9.6993210474999994E-2;-10.485437;-0.650759
Gebrauchsgüter ;9.425070688031667E-2;-7.909605;-4.736842;-1.375752;-0.617284;-1.114488;-0.458295;5.616943;-15.780296;1.035197
Verbrauchsgüter ;-5.519177;-4.554455;-4.94403;-6.331471;-2.457265;-7.377049;0;-1.275761;-9.244533;-0.985761
Energie (ohne Abschnitt E) ;-7.186858;-7.079646;0.326797;-3.781513;-4.171011;-3.423968;14.981273;-0.542888;0.327511;4.352557
Energie (ohne Abschnitte D und E) ;-12.009238;-3.805774;-1.5625;2.176871;-3.255208;-3.661616;6.030856;-0.661376;-1.065246;2.69179
Bergbau und Gewinnung von Steinen und Erden ;-13.400901;-5.721717;-3.444034;1.397713;1.371951;2.369668;3.018373;1.656051;-16.666667;-2.556391
Kohlenbergbau ;-49.779087;-17.595308;8.708709;-3.598972;12.703583;19.551282;17.152104;3.59116;-7.733333;7.803468
Gewinnung von Erdöl und Erdgas ;-5.769231;-8.163265;-23.319616;-3.399433;-2.811245;-1.486486;0.902527;22.003578;6.451613;0.413223
