<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Grundzahlen";;;;;;;;;;
;Einheit;  2018  ;  2019  ;  2020  ;Mai 18  ;Nov. 18 ;Mai 19  ;Nov. 19 ;Mai 20  ;Nov. 20 
;;;;;;;;;;
Land- und Forstwirtschaft;;;;;;;;;;
;;;;;;;;;;
Viehbestand1;;;;;;;;;;
Rinder (einschl. Kälber) ;1 000;11949.092;11639.532;11301.86;12093.375;11949.092;11763.433;11639.532;11423.461;11301.86
dar.: Kälber ;1 000;2472.335;2411.974;2343.406;2495.13;2472.335;2413.071;2411.974;2352.15;2343.406
Schweine ;1 000;26445.4;26053.4;26069.9;26898.4;26445.4;25959;26053.4;25479.7;26069.9
dar.: Mast- und Jungschweine (ohne Ferkel) ;1 000;16918.8;16573.2;16646.7;17050.5;16918.8;16329.7;16573.2;15836.5;16646.7
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Gewerbliche Schlachtungen2;;;;;;;;;;
Rinder ;Anzahl;3455971;3386285;3254634;253976;283107;310355;292105;286924;251553
Ochsen ;Anzahl;22103;23009;24002;1488;2319;3136;3088;1850;1711
Bullen ;Anzahl;1280914;1263020;1241236;94299;101096;117208;121209;110375;87038
Kühe ;Anzahl;1254981;1186107;1105877;92389;106047;108035;89946;94623;95139
weibliche Rinder3 ......................................................................................................;Anzahl;557699;573267;556600;43161;47634;52678;49803;47538;43276
Kälber4 ............................................................................................................;Anzahl;321991;323125;310496;21486;24576;27497;26126;31144;23089
Jungrinder5 ............................................................................;Anzahl;18283;17757;16423;1153;1435;1801;1933;1394;1300
Schweine ;Anzahl;56825356;55130976;53216912;4331249;4555791;4456779;4505240;4294368;4417996
Lämmer ;Anzahl;1026554;990021;1045604;85189;80298;77077;72607;95411;64367
Übrige Schafe ;Anzahl;127093;131524;138428;11001;12126;14101;12498;12250;8866
Schlachtmenge2;;;;;;;;;;
Rinder ;t;1115565;1110715;1082353;84418;93299;103045;97991;94785;83192
Ochsen ;t;7459;7957;8400;516;836;1083;1077;640;606
Bullen ;t;506723;507940;502989;38088;40779;47493;49136;44579;35231
Kühe ;t;381119;366972;346982;28807;32874;33628;28052;29819;30105
weibliche Rinder3 ......................................................................................................;t;169435;176960;175428;13615;14916;16445;15503;14997;13652
Kälber4 ............................................................................................................;t;47747;47899;45749;3191;3657;4075;3892;4494;3373
Jungrinder5 ............................................................................;t;3082;2987;2805;201;237;321;331;256;225
Schweine ;t;5363266;5227588;5101915;414719;436297;431291;438886;416104;434355
Lämmer ;t;19480;18970;19942;1608;1529;1465;1382;1824;1526
Übrige Schafe ;t;3908;4083;4302;337;370;444;389;372;243
Geflügel;;;;;;;;;;
Geschlachtetes Geflügel6 .......................................................................................................;t;1570768.84;1583760.626;1613637.091;125663.024;134329.328;138274.604;138248.13;139537.711;128722.523
darunter:;;;;;;;;;;
Jungmasthühner ;t;1020885.166;1036201.304;1066528.075;84910.457;88867.147;91320.768;89873.179;87381.185;84450.196
Enten ;t;37057.566;34601.966;26508.131;.;1930.484;2229.8;2400.726;2918.335;.
Truthühner ;t;467207.771;470583.552;476776.584;36013.418;39176.906;40705.593;41923.077;45048.161;38807.156
Geschlachtetes Geflügel6 nach Herrichtungsform ;;;;;;;;;;
darunter:;;;;;;;;;;
Jungmasthühner, zerteilt7 ............................................................;t;888614.712;907073.291;937448.462;75480.32;77523.506;79583.129;78170.523;76874.323;74135.667
Enten, zerteilt7 ..........................................................................................................;t;5414.448;5128.276;3460.357;128.526;.;670.356;773.678;.;210.634
Truthühner, zerteilt7 ......................................................................................................;t;393587.63;402359.952;403783.394;30924.589;34250.029;34750.621;34091.861;37026.378;32477.472
Geschlachtetes Geflügel6 nach Angebotszustand;;;;;;;;;;
darunter:;;;;;;;;;;
Jungmasthühner, frisch abgegeben ;t;831221.268;849283.169;874790.129;69426.773;72990.374;73865.1;72217.148;72052.855;72079.213
Enten, frisch abgegeben ;t;11199.847;10222.82;8784.11;.;540.267;1137.038;1403.895;.;.
Truthühner, frisch abgegeben ;t;.;.;.;.;.;.;.;.;.
Eingelegte Bruteier8 zur Erzeugung von ;;;;;;;;;;
Hühnerküken zum Gebrauch;;;;;;;;;;
Legerassen ;1 000;103284.009;104992.142;91308.069;8418.305;8279.936;5223.578;5199.166;6600.107;5455.689
