<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Mai 19  ;Nov. 19 ;Mai 20  ;Nov. 20 ;Mai 19  ;Nov. 19 ;Mai 20  ;Nov. 20 
;gegenüber Vorjahr;;gegenüber Vorjahreserhebung;;;;gegenüber Vorerhebung;;;
;;;;;;;;;;
Land- und Forstwirtschaft;;;;;;;;;;
;;;;;;;;;;
Viehbestand1;;;;;;;;;;
Enten, frisch abgegeben ;-8.723575;-14.073514;-4.441193;-2.581844;.;.;110.458533;23.469488;.;.
Truthühner, frisch abgegeben ;.;.;.;.;.;.;.;.;.;.
Eingelegte Bruteier8 zur Erzeugung von ;;;;;;;;;;
Hühnerküken zum Gebrauch;;;;;;;;;;
Legerassen ;1.653821;-13.033426;-20.781854;-23.318963;-28.380665;-44.0542;-36.912822;-0.467342;26.945495;-17.339386
Mastrassen ;-0.356585;-2.384294;-3.657391;-7.612825;-5.253812;-7.252438;2.296257;-13.931849;14.650529;0.109518
Geschlüpfte Hühnerküken8 zum Gebrauch;;;;;;;;;;
Legerassen ;7.457508;-10.589889;-29.44956;-29.673787;-8.149608;-45.411825;-30.505325;-28.714105;63.518337;-18.197321
Mastrassen ;-0.508388;-3.06164;-6.857433;-7.315552;-3.850672;-5.704217;-0.602001;-16.31306;19.329893;-7.115667
;;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
Legehennenhaltung und Eiererzeugung9;;;;;;;;;;
Betriebe10, 11 ......................................................................................................................;3.584607;3.053435;2.352326;2.301255;2.302459;2.607362;0.153453;-0.102145;-5.1124744376000002E-2;2.659847
Hennenhaltungsplätze12 .......................................................;0.49788;-3.6377412541999998E-2;0.179336;0.266417;2.6052420723999999E-2;0.830825;0.205814;0.133722;-9.9898276768000005E-2;0.216189
Legehennen im Durchschnitt ;1.586606;2.197484;4.935258;3.986568;2.084788;.;1.175565;0.892801;-1.329133;.
Erzeugte Eier ;1.501092;3.398022;5.959027;7.484222;4.311322;0.167049;4.512455;0.152882;1.808447;-3.942965
Eier je Henne ;-0.100671;1.17568;0.8;3.719008;1.976285;.;3.278689;-0.396825;2.788845;.
Eier je Henne und Tag ;0;0;0;3.703704;1.219512;.;0;3.703704;-1.190476;.
Auslastung der Haltungskapazität10 ..................................;X;X;X;X;X;X;X;X;X;X
;;;;;;;;;;

1 Erhebungszeitpunkte für Rinder und Schweine 3. Mai und 3. November. – 2 Aufgrund methodischer Anpassung ist eine Vergleichbarkeit mit den Vorjahren ab Januar 2009 nur ein-;;;;;;;;;;
geschränkt möglich. – 3 Ausgewachsene weibliche Rinder, die noch nicht gekalbt haben. – 4 Kälber bis zu 8 Monaten. – 5 Jungrinder, mehr als 8, aber höchstens 12 Monate. – ;;;;;;;;;;
6 Durch Wegfall der Schlachtkapazität der Betriebe als Erhebungseinheit und die zusätzliche Erfassung der Tierarten Strauße, Wachteln und Tauben ab Januar 2010 ist ein Vorjahres- ;;;;;;;;;;
vergleich nur eingeschränkt möglich. – 7 Alle Teile von Geflügelschlachtkörpern einschl. des entbeinten Fleisches und nicht in den Schlachtkörpern ein- gelegter Innereien. – 8 In ;;;;;;;;;;
Brütereien mit einem Fassungsvermögen der Brutanlagen von mindestens 1 000 Eiern ausschl. des Schlupfraums. – 9 In Betrieben von Unternehmen mit mindestens 3 000 Hennen-;;;;;;;;;;
haltungsplätzen.  – 10 Jahresangaben beziehen sich auf den Stichtag 1. Dezember. – 11 Bei Monatsangaben seit 31.01.2015: Eine aus einem Stall oder mehreren Ställen beste- ;;;;;;;;;;
hende örtliche, wirtschaftliche und seuchenhygienische Einheit zur Erzeugung von Eiern im Sinne des Legehennenbetriebsregistergesetzes.  – 12 Bei voller Ausnutzung der für die ;;;;;;;;;;
"Hennenhaltung verfügbaren Hennenhaltungsplätze; Jahresangaben beziehen sich auf den Stichtag 1. Dezember.";;;;;;;;;;
