<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Preise;;;;;;;;;;
;;;;;;;;;;
Index der Erzeugerpreise gewerblicher;;;;;;;;;;
Glas und Glaswaren ;1.701323;-0.557621;0.373134;0.841908;1.679104;2.425373;0.560748;0.185874;1.113173;0.733945
;;;;;;;;;;
Sonstige Porzellan- und keramische Erzeugnisse ;2.251407;2.110092;1.642336;1.824818;1.532913;1.624549;-8.9686098655000004E-2;0.179533;0.896057;0
Metalle ;-1.914312;-3.531599;-9.5057034220999995E-2;1.330798;4.450758;7.93499;1.252408;1.427212;3.470919;2.357208
;;;;;;;;;;
Roheisen, Rohstahl und Walzstahl sowie Ferrolegierungen ;-3.336185;-7.610619;-2.782931;-0.837209;5.571031;10.640301;1.648885;1.717557;6.660413;3.342128
NE-Metalle und Halbzeug daraus ;-2.003817;0.681597;4.887586;7.003891;7.375479;11.035818;1.609848;2.516309;1.909091;2.319358
Gießereierzeugnisse ;-9.8135426888999996E-2;-0.884086;-0.6917;-0.39604;0.893744;0.395257;9.9601593624999998E-2;9.9502487562000003E-2;0.994036;0
Metallerzeugnisse ;1.342282;0.189215;0.284091;0.473485;0.660377;1.322002;0;0.188857;0.565504;0.562324
Datenverarbeitungsgeräte, elektronische und ;;;;;;;;;;
optische Erzeugnisse ;-1.210898;-1.327886;-1.444788;-1.654602;-1.449275;-1.756198;-0.313152;-0.418848;0.105152;-0.105042
Elektrische Ausrüstungen ;0.968054;0.862895;0.956938;0.956938;0.856327;1.047619;9.4876660341999999E-2;0;0.473934;9.4339622642000007E-2
Maschinen ;1.742498;1.14177;1.044634;0.948767;0.754717;0.848256;0;0;0.37594;0.187266
