<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
;;  2018  ;  2019  ;  2020  ;3. Vj 19;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;;
Personenverkehr ;;;;;;;;;;
Beförderte Personen;;;;;;;;;;
Linienverkehr mit Bussen und Bahnen ;1 000;11570197;11631924;8126077;2798859;2983713;2643012;1528179;2040935;1913951
Liniennahverkehr insgesamt6 ………………………………………………………………………………….;1 000;11398514;11459294;8038483;2753287;2939353;2609425;1517196;2014431;1897431
mit Eisenbahnen7 ……………………………………………………………………………….;1 000;2718190;2775962;1698803;692599;705521;586026;272952;449668;390157
mit Straßenbahnen7 ……………………………………………………………………………………………..;1 000;4114100;4133025;2862967;995626;1071476;954273;542254;711690;654750
mit Omnibussen7 ………………………………………………………………………………..;1 000;5290053;5277015;3996127;1240992;1349515;1238886;801052;985096;971093
Linienfernverkehr mit Omnibussen8 ………………………………………………………………………………..;1 000;23054;21223;6081;5751;5086;3245;219;2021;596
Linienfernverkehr mit Eisenbahnen ;1 000;148629;151407;81513;39821;39274;30342;10764;24483;15924
;;;;;;;;;;
;;;;;;;;;;
1 Einschl. Doppelschätzungen des Umladeverkehrs (Einladung/Ausladung). Ab Berichtsmonat Januar 2009 einschl. Luftpost. – 2 Quelle: Bundesamt für Wirtschaft und Ausfuhrkontrolle, ;;;;;;;;;;
"Eschborn. – 3 Quellen: Bundesamt für Güterverkehr, Köln; Kraftfahrt-Bundesamt, Flensburg. – 4 Nur inländische Lkw. – 5 Einschl. tkm im Ausland. – 6 Unternehmensfahrten. – 7 Ver- ";;;;;;;;;;
kehrsmittelfahrten. – 8 Ohne die neugegründeten Fernbusunternehmen.;;;;;;;;;;
