<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
noch: Verarbeitendes Gewerbe sowie Bergbau und Gewinnung ;;;;;;;;;;
von Steinen und Erden1;;;;;;;;;;
Gesamtumsatz2 .....................................................................................................................;-0.548074;-8.77717;-2.858813;1.798595;5.200869;-9.472138;0.319685;3.680326;-4.618431;-15.410186
Vorleistungsgüterproduzenten ;-2.848902;-6.219386;-1.261211;4.52266;10.7887;-3.515239;2.504336;1.021667;-13.803113;8.744895
Investitionsgüterproduzenten ;1.436657;-11.315487;-1.451612;3.97978;4.984905;-11.285318;-0.542357;8.308289;-0.193485;-30.393192
Gebrauchsgüterproduzenten ;2.873089;-1.972702;3.234207;6.509124;8.715945;-5.400513;1.788756;2.720831;-15.215522;-5.79716
Verbrauchsgüterproduzenten ;-0.638063;-2.910537;-5.859028;-5.268151;2.64711;-12.225149;-1.896626;-3.516829;1.06302;-11.816883
Energie ;-5.998424;-24.541898;-25.531759;-25.366374;-22.359799;-32.277495;0.355084;-5.506396;4.690274;-11.604364
Bergbau und Gewinnung von Steinen und Erden ;-10.194447;-12.04591;-7.62984;-6.99729;-9.100155;-1.972808;5.40289;1.350399;-3.83108;-0.947072
Verarbeitendes Gewerbe ;-0.514552;-8.766916;-2.844081;1.826229;5.248777;-9.495608;0.305485;3.687166;-4.62069;-15.452032
H.v. Nahrungs- und Futtermitteln ;3.499212;1.270897;-1.940303;-4.610769;1.315708;-13.020969;3.406789;-5.239779;2.369278;-12.699046
Getränkeherstellung ;0.320363;-5.166244;-8.519603;-12.716806;-0.919902;-21.81605;-12.631083;-7.377565;20.587764;-33.003985
H.v. Papier, Pappe und Waren daraus  ;-3.365079;-7.250798;-5.723046;-2.415634;4.850504;-9.737142;4.193991;-1.942876;-12.179002;6.178756
"H.v. Druckerzeugnissen; Vervielfältigung von bespielten ";;;;;;;;;;
Ton-, Bild- und Datenträgern ;-3.463981;-12.706678;-13.584062;-9.483672;-6.471783;-21.514941;-1.155425;-0.467375;-4.290023;-19.703208
Kokerei und Mineralölverarbeitung ;-5.296193;-25.005246;-26.30277;-26.082666;-22.84861;-33.727851;2.7607150300000002E-4;-6.148049;4.672759;-12.298149
