<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Preise;;;;;;;;;;
;;;;;;;;;;
Verbraucherpreisindex für Postdienstleistungen ;3.665414;3.44515;-0.264317;-1.730104;-1.730104;-1.730104;0;0.353357;0;0
;;;;;;;;;;
;  2019  ;  2020  ;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Verbraucherpreisindex für Telekommunikations- ;;;;;;;;;;
dienstleistungen ;-0.413223;-1.659751;-3.322949;-0.934579;-1.038422;-1.039501;-0.107296;2.470462;-0.104822;-0.104932
;;;;;;;;;;
Kombinierte Telekommunikationsdienstleistungen1 .....................................................................................................;-0.203666;-1.326531;-2.85423;-0.306122;-0.408163;-0.306122;0;2.518363;-0.102354;0.102459
Mobiltelefondienstleistungen ;-0.741525;-2.561366;-3.870968;-1.825994;-2.040816;-2.150538;-0.111732;2.237136;-0.218818;-0.219298
;;;;;;;;;;
;  2019  ;  2020  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Index der Einfuhrpreise ;-0.97371;-4.32645;-3.842365;-3.441495;-1.1846;1.394422;0.514933;0.614754;1.934827;1.698302
Güter aus Euro-Ländern ;-1.625239;-3.887269;-3.417969;-2.826511;-0.584795;2.068966;0.406091;0.808898;2.306921;1.568627
Güter aus Nicht-Euro-Ländern ;-0.394089;-4.549951;-4.063429;-3.659743;-1.492537;1.003009;0.414938;0.619835;1.64271;1.717172
Güter der Ernährungswirtschaft ;1.092354;1.375246;-1.356589;-2.681992;-1.70778;-1.226415;-0.391389;-0.196464;1.968504;1.061776
Güter der Gewerblichen Wirtschaft ;-1.166181;-4.916421;-4.146101;-3.451677;-1.09127;1.603206;0.517598;0.823893;1.838611;1.705115
Rohstoffe ;-8.121827;-26.243094;-20.477502;-16.802906;-5.988593;10.093652;3.588517;5.773672;7.969432;6.976744
