
Stand: 24.04.2021 08:12:20;;;


Landkreis;LKNR;Anzahl;Inzidenz
LK Helmstedt;03154;76;83.244794
LK Herford;05758;439;175.194949
SK Herne;05916;451;288.272856
LK Hersfeld-Rotenburg;06632;321;265.906775
LK Herzogtum Lauenburg;01053;201;101.505411
LK Hildburghausen;16069;97;153.488298
LK Hildesheim;03254;320;116.018955
LK Hochsauerlandkreis;05958;377;145.124472
LK Hochtaunuskreis;06434;314;132.537545
SK Hof;09464;151;329.514457
LK Hof;09475;255;268.984504
LK Hohenlohekreis;08126;239;212.152146
LK Holzminden;03255;58;82.318544
LK Höxter;05762;106;75.578784
LK Ilm-Kreis;16070;312;293.649823
SK Ingolstadt;09161;244;177.594037
SK Jena;16053;153;137.413219
LK Jerichower Land;15086;109;121.666722
SK Kaiserslautern;07312;163;162.951115
LK Kaiserslautern;07335;121;114.173563
SK Karlsruhe;08212;453;145.164391
LK Karlsruhe;08215;708;159.065021
SK Kassel;06611;424;209.758728
LK Kassel;06633;412;174.012941
SK Kaufbeuren;09762;78;175.683589
LK Kelheim;09273;275;223.471859
SK Kempten;09763;184;266.084366
SK Kiel;01002;217;87.927583
LK Kitzingen;09675;125;137.129066
LK Kleve;05154;487;155.857456
SK Koblenz;07111;149;130.642163
SK Köln;05315;2608;239.73607
LK Konstanz;08335;449;156.825763
SK Krefeld;05114;527;231.732896
LK Kronach;09476;205;307.148315
LK Kulmbach;09477;154;215.185982
LK Kusel;07336;68;96.839887
LK Kyffhäuserkreis;16065;151;203.471137
LK Lahn-Dill-Kreis;06532;438;172.90452
SK Landau i.d.Pfalz;07313;65;138.64892
LK Landsberg a.Lech;09181;129;107.230137
SK Landshut;09261;182;247.919249
LK Landshut;09274;465;290.815848
LK Leer;03457;181;105.999204
SK Leipzig;14713;696;117.340617
LK Leipzig;14729;413;159.991323
SK Leverkusen;05316;415;253.46762
LK Lichtenfels;09478;166;248.592309
LK Limburg-Weilburg;06533;508;295.500023
LK Lindau;09776;108;131.737842
LK Lippe;05766;556;159.993554
LK Lörrach;08336;229;100.115417
SK Lübeck;01003;124;57.266891
LK Lüchow-Dannenberg;03354;27;55.771296
LK Ludwigsburg;08118;1104;202.411706
SK Ludwigshafen;07314;424;246.149559
LK Ludwigslust-Parchim;13076;397;187.459569
LK Lüneburg;03355;121;65.711229
SK Magdeburg;15003;322;135.541852
LK Main-Kinzig-Kreis;06435;779;185.232742
LK Main-Spessart;09677;149;118.105867
LK Main-Tauber-Kreis;08128;140;105.74098
LK Main-Taunus-Kreis;06436;324;135.816028
SK Mainz;07315;409;187.118557
LK Mainz-Bingen;07339;260;122.979704
SK Mannheim;08222;612;197.001204
LK Mansfeld-Südharz;15087;274;203.050199
LK Marburg-Biedenkopf;06534;434;175.648767
LK Märkischer Kreis;05962;931;226.950285
LK Märkisch-Oderland;12064;262;133.843505
LK Mayen-Koblenz;07137;373;173.946296
LK Mecklenburgische Seenplatte;13071;460;178.24345
LK Meißen;14627;476;196.924503
SK Memmingen;09764;97;219.954649
LK Merzig-Wadern;10042;117;113.324874
LK Mettmann;05158;991;204.090039
LK Miesbach;09182;159;158.984102
LK Miltenberg;09676;214;166.22263
LK Minden-Lübbecke;05770;502;161.722115
LK Mittelsachsen;14522;879;289.050605
SK Mönchengladbach;05116;319;122.206303
LK Mühldorf a.Inn;09183;401;346.071527
SK Mülheim a.d.Ruhr;05117;366;214.496695
SK München;09162;2179;146.810526
LK München;09184;461;131.536523
SK Münster;05515;328;104.03022
LK Neckar-Odenwald-Kreis;08225;228;158.737894
LK Neuburg-Schrobenhausen;09185;156;160.323937
LK Neumarkt i.d.OPf.;09373;186;138.214947
SK Neumünster;01004;48;59.853359
LK Neunkirchen;10043;208;158.285645
LK Neustadt a.d.Aisch-Bad Windsheim;09575;255;252.440256
LK Neustadt a.d.Waldnaab;09374;106;112.228692
SK Neustadt a.d.Weinstraße;07316;50;93.872034
LK Neu-Ulm;09775;372;212.32392
LK Neuwied;07138;258;141.129363
LK Nienburg (Weser);03256;134;110.388006
LK Nordfriesland;01054;69;41.578538
LK Nordhausen;16062;99;118.682267
LK Nordsachsen;14730;363;183.573462
LK Nordwestmecklenburg;13074;174;110.601187
LK Northeim;03155;90;68.034925
SK Nürnberg;09564;1034;199.47142
LK Nürnberger Land;09574;239;139.936297
LK Oberallgäu;09780;240;153.838265
LK Oberbergischer Kreis;05374;712;261.709862
SK Oberhausen;05119;355;168.434837
LK Oberhavel;12065;221;103.797778
LK Oberspreewald-Lausitz;12066;177;161.83449
LK Odenwaldkreis;06437;141;145.807266
LK Oder-Spree;12067;261;145.970705
SK Offenbach;06413;409;313.939208
LK Offenbach;06438;570;160.196508
SK Oldenburg;03403;175;103.503138
LK Oldenburg;03458;153;116.892047
LK Olpe;05966;248;185.1368
LK Ortenaukreis;08317;641;148.740118
SK Osnabrück;03404;277;167.623797
LK Osnabrück;03459;438;122.319035
LK Ostalbkreis;08136;734;233.739352
LK Ostallgäu;09777;285;201.867094
LK Osterholz;03356;88;77.241767
LK Ostholstein;01055;178;88.76079
LK Ostprignitz-Ruppin;12068;111;112.278856
LK Paderborn;05774;502;163.072255
SK Passau;09262;61;115.523739
LK Passau;09275;311;161.427622
LK Peine;03157;230;170.62188
LK Pfaffenhofen a.d.Ilm;09186;232;180.929133
SK Pforzheim;08231;223;177.044547
LK Pinneberg;01056;337;106.61082
SK Pirmasens;07317;60;149.138724
LK Plön;01057;61;47.402204
SK Potsdam;12054;224;124.213959
LK Potsdam-Mittelmark;12069;233;107.588449
LK Prignitz;12070;74;97.166417
LK Rastatt;08216;463;200.069138
LK Ravensburg;08436;481;168.521218
LK Recklinghausen;05562;1190;193.76784
LK Regen;09276;154;198.940705
SK Regensburg;09362;326;212.941069
LK Regensburg;09375;368;189.622301
SK Remscheid;05120;316;283.820439
LK Rems-Murr-Kreis;08119;934;218.608396
LK Rendsburg-Eckernförde;01058;152;55.454618
LK Reutlingen;08415;589;205.202171
LK Rhein-Erft-Kreis;05362;830;176.364969
LK Rheingau-Taunus-Kreis;06439;272;145.330199
LK Rhein-Hunsrück-Kreis;07140;123;119.228793
LK Rheinisch-Bergischer Kreis;05378;391;138.030367
LK Rhein-Kreis Neuss;05162;562;124.410599
LK Rhein-Lahn-Kreis;07141;159;130.011366
LK Rhein-Neckar-Kreis;08226;769;140.23762
LK Rhein-Pfalz-Kreis;07338;192;124.184232
LK Rhein-Sieg-Kreis;05382;769;128.003675
LK Rhön-Grabfeld;09673;133;167.011992
SK Rosenheim;09163;104;163.648094
LK Rosenheim;09187;344;131.634332
SK Rostock;13003;197;94.172311
LK Rostock;13072;263;121.875492
LK Rotenburg (Wümme);03357;144;87.92175
LK Roth;09576;149;117.555168
LK Rottal-Inn;09277;327;269.131372
LK Rottweil;08325;363;259.51186
LK Saale-Holzland-Kreis;16074;177;213.381555
LK Saalekreis;15088;419;227.946577
LK Saale-Orla-Kreis;16075;247;307.550553
LK Saalfeld-Rudolstadt;16073;247;239.343404
LK Saarlouis;10044;277;142.549107
LK Saarpfalz-Kreis;10045;131;92.126361
LK Sächsische Schweiz-Osterzgebirge;14628;430;175.091414
SK Salzgitter;03102;281;269.438398
LK Salzlandkreis;15089;280;148.050231
LK Sankt Wendel;10046;97;111.485283
LK Schaumburg;03257;215;136.231149
LK Schleswig-Flensburg;01059;92;45.735648
LK Schmalkalden-Meiningen;16066;278;222.549553
SK Schwabach;09565;60;146.409312
LK Schwäbisch Hall;08127;487;247.508399
LK Schwalm-Eder-Kreis;06634;238;132.462863
LK Schwandorf;09376;176;119.021857
LK Schwarzwald-Baar-Kreis;08326;409;192.465154
SK Schweinfurt;09662;113;211.507506
LK Schweinfurt;09678;126;109.142882
SK Schwerin;13004;105;109.771779
LK Segeberg;01060;191;68.909534
LK Siegen-Wittgenstein;05970;387;139.739442
LK Sigmaringen;08437;230;175.77513
LK Soest;05974;371;122.935202
SK Solingen;05122;307;192.784703
LK Sömmerda;16068;212;305.356706
LK Sonneberg;16072;145;251.225809
