
Stand: 21.12.2020 05:21:53;;;


Landkreis;LKNR;Anzahl;Inzidenz
LK Helmstedt;03154;80;87.626099
LK Herford;05758;532;212.309141
SK Herne;05916;395;252.478443
LK Hersfeld-Rotenburg;06632;346;286.616026
LK Herzogtum Lauenburg;01053;166;83.83034
LK Hildburghausen;16069;242;382.929569
LK Hildesheim;03254;254;92.090045
LK Hochsauerlandkreis;05958;283;108.93959
LK Hochtaunuskreis;06434;256;108.056088
SK Hof;09464;188;410.25641
LK Hof;09475;276;291.136169
LK Hohenlohekreis;08126;206;182.859172
LK Holzminden;03255;49;69.544977
LK Höxter;05762;124;88.412917
LK Ilm-Kreis;16070;321;302.120491
SK Ingolstadt;09161;298;216.897636
SK Jena;16053;203;182.319499
LK Jerichower Land;15086;127;141.758475
SK Kaiserslautern;07312;131;130.960712
LK Kaiserslautern;07335;133;125.496561
SK Karlsruhe;08212;466;149.330257
LK Karlsruhe;08215;988;221.972092
SK Kassel;06611;366;181.065317
LK Kassel;06633;454;191.752124
SK Kaufbeuren;09762;49;110.365332
LK Kelheim;09273;223;181.215362
SK Kempten;09763;149;215.470492
SK Kiel;01002;262;106.161414
LK Kitzingen;09675;143;156.875651
LK Kleve;05154;397;127.05423
SK Koblenz;07111;160;140.286887
SK Köln;05315;1844;169.506638
LK Konstanz;08335;386;134.821257
SK Krefeld;05114;330;145.107886
LK Kronach;09476;147;220.247816
LK Kulmbach;09477;128;178.855881
LK Kusel;07336;66;93.991655
LK Kyffhäuserkreis;16065;181;243.895866
LK Lahn-Dill-Kreis;06532;429;169.351687
SK Landau i.d.Pfalz;07313;73;155.713402
LK Landsberg a.Lech;09181;153;127.179931
SK Landshut;09261;117;159.37666
LK Landshut;09274;259;161.9813
LK Leer;03457;96;56.220572
SK Leipzig;14713;1321;222.711141
LK Leipzig;14729;1044;404.43327
SK Leverkusen;05316;313;191.169555
LK Lichtenfels;09478;118;176.710195
LK Limburg-Weilburg;06533;529;307.715575
LK Lindau;09776;165;201.266147
LK Lippe;05766;938;269.917183
LK Lörrach;08336;622;271.929211
SK Lübeck;01003;492;227.220247
LK Lüchow-Dannenberg;03354;39;80.558539
LK Ludwigsburg;08118;896;164.276167
SK Ludwigshafen;07314;593;344.261058
LK Ludwigslust-Parchim;13076;222;104.826258
LK Lüneburg;03355;124;67.340433
SK Magdeburg;15003;260;109.443731
LK Main-Kinzig-Kreis;06435;1291;306.977496
LK Main-Spessart;09677;274;217.187971
LK Main-Tauber-Kreis;08128;233;175.983202
LK Main-Taunus-Kreis;06436;266;111.503282
SK Mainz;07315;366;167.445946
LK Mainz-Bingen;07339;300;141.899658
SK Mannheim;08222;903;290.673345
LK Mansfeld-Südharz;15087;231;171.184657
LK Marburg-Biedenkopf;06534;474;191.837594
LK Märkischer Kreis;05962;809;197.210291
LK Märkisch-Oderland;12064;352;179.820282
LK Mayen-Koblenz;07137;261;121.715773
LK Mecklenburgische Seenplatte;13071;487;188.705565
LK Meißen;14627;1230;508.859534
SK Memmingen;09764;68;154.195011
LK Merzig-Wadern;10042;135;130.75947
LK Mettmann;05158;823;169.491525
LK Miesbach;09182;126;125.987401
LK Miltenberg;09676;200;155.348252
LK Minden-Lübbecke;05770;858;276.409511
LK Mittelsachsen;14522;1964;645.842308
SK Mönchengladbach;05116;456;174.689887
LK Mühldorf a.Inn;09183;279;240.782933
SK Mülheim a.d.Ruhr;05117;354;207.464016
SK München;09162;4370;294.429555
LK München;09184;717;204.580667
SK Münster;05515;330;104.66455
LK Neckar-Odenwald-Kreis;08225;539;375.261952
LK Neuburg-Schrobenhausen;09185;192;197.321768
LK Neumarkt i.d.OPf.;09373;410;304.667355
SK Neumünster;01004;58;72.322809
LK Neunkirchen;10043;173;131.651041
LK Neustadt a.d.Aisch-Bad Windsheim;09575;132;130.674956
LK Neustadt a.d.Waldnaab;09374;281;297.511911
SK Neustadt a.d.Weinstraße;07316;69;129.543406
LK Neu-Ulm;09775;376;214.606972
LK Neuwied;07138;441;241.232749
LK Nienburg (Weser);03256;165;135.925529
LK Nordfriesland;01054;118;71.105326
LK Nordhausen;16062;110;131.869186
LK Nordsachsen;14730;911;460.703648
LK Nordwestmecklenburg;13074;126;80.090515
LK Northeim;03155;66;49.892278
SK Nürnberg;09564;2019;389.490133
LK Nürnberger Land;09574;436;255.281278
LK Oberallgäu;09780;301;192.938824
LK Oberbergischer Kreis;05374;572;210.250058
SK Oberhausen;05119;721;342.088782
LK Oberhavel;12065;359;168.612679
LK Oberspreewald-Lausitz;12066;665;608.022236
LK Odenwaldkreis;06437;345;356.762458
LK Oder-Spree;12067;262;146.52998
SK Offenbach;06413;290;222.597482
LK Offenbach;06438;776;218.092088
SK Oldenburg;03403;155;91.674208
LK Oldenburg;03458;236;180.304072
LK Olpe;05966;297;221.716248
LK Ortenaukreis;08317;894;207.447216
SK Osnabrück;03404;209;126.474272
LK Osnabrück;03459;478;133.489723
LK Ostalbkreis;08136;546;173.871507
LK Ostallgäu;09777;240;169.993342
LK Osterholz;03356;104;91.285724
LK Ostholstein;01055;143;71.307825
LK Ostprignitz-Ruppin;12068;195;197.246639
LK Paderborn;05774;363;117.918782
SK Passau;09262;155;293.543927
LK Passau;09275;717;372.165933
LK Peine;03157;115;85.31094
LK Pfaffenhofen a.d.Ilm;09186;329;256.576228
SK Pforzheim;08231;435;345.355955
LK Pinneberg;01056;245;77.506382
SK Pirmasens;07317;77;191.394696
LK Plön;01057;49;38.07718
SK Potsdam;12054;52;28.835383
LK Potsdam-Mittelmark;12069;505;233.185265
LK Prignitz;12070;177;232.411565
LK Rastatt;08216;362;156.425547
LK Ravensburg;08436;512;179.382252
LK Recklinghausen;05562;1394;226.985184
LK Regen;09276;424;547.732851
SK Regensburg;09362;204;133.251466
LK Regensburg;09375;318;163.858402
SK Remscheid;05120;226;202.985504
LK Rems-Murr-Kreis;08119;953;223.055462
LK Rendsburg-Eckernförde;01058;211;76.979766
LK Reutlingen;08415;721;251.189755
LK Rhein-Erft-Kreis;05362;629;133.654898
LK Rheingau-Taunus-Kreis;06439;322;172.045309
LK Rhein-Hunsrück-Kreis;07140;144;139.584929
LK Rheinisch-Bergischer Kreis;05378;517;182.510741
LK Rhein-Kreis Neuss;05162;720;159.387245
LK Rhein-Lahn-Kreis;07141;242;197.878934
LK Rhein-Neckar-Kreis;08226;1335;243.455426
LK Rhein-Pfalz-Kreis;07338;476;307.87341
LK Rhein-Sieg-Kreis;05382;1137;189.25901
LK Rhön-Grabfeld;09673;104;130.595844
SK Rosenheim;09163;112;176.236409
LK Rosenheim;09187;520;198.98213
SK Rostock;13003;62;29.637986
LK Rostock;13072;136;63.023068
LK Rotenburg (Wümme);03357;127;77.542099
LK Roth;09576;289;228.009688
LK Rottal-Inn;09277;304;250.201643
LK Rottweil;08325;515;368.177984
LK Saale-Holzland-Kreis;16074;232;279.686558
LK Saalekreis;15088;389;211.625819
LK Saale-Orla-Kreis;16075;234;291.363682
LK Saalfeld-Rudolstadt;16073;455;440.895745
LK Saarlouis;10044;435;223.858707
LK Saar-Pfalz-Kreis;10045;215;151.199752
LK Sächsische Schweiz-Osterzgebirge;14628;1418;577.394477
SK Salzgitter;03102;155;148.622604
LK Salzlandkreis;15089;394;208.327826
LK Sankt Wendel;10046;107;122.978611
LK Schaumburg;03257;172;108.98492
LK Schleswig-Flensburg;01059;61;30.324723
LK Schmalkalden-Meiningen;16066;359;287.393128
SK Schwabach;09565;152;370.903589
LK Schwäbisch Hall;08127;367;186.520703
LK Schwalm-Eder-Kreis;06634;458;254.907526
LK Schwandorf;09376;187;126.460723
LK Schwarzwald-Baar-Kreis;08326;539;253.639897
SK Schweinfurt;09662;61;114.176618
LK Schweinfurt;09678;150;129.932002
SK Schwerin;13004;153;159.953164
LK Segeberg;01060;261;94.164337
LK Siegen-Wittgenstein;05970;425;153.460627
LK Sigmaringen;08437;216;165.075774
LK Soest;05974;370;122.60384
SK Solingen;05122;463;290.746962
LK Sömmerda;16068;148;213.173549
LK Sonneberg;16072;195;337.855398
SK Speyer;07318;261;516.208145
LK Spree-Neiße;12071;139;122.230039
LK Stade;03359;260;127.131904
LK Stadtverband Saarbrücken;10041;576;175.228314
LK Starnberg;09188;207;151.463045
LK Steinburg;01061;165;125.9417
LK Steinfurt;05566;616;137.432511
LK Stendal;15090;260;233.833978
LK Stormarn;01062;339;138.845656
SK Straubing;09263;92;192.504865
LK Straubing-Bogen;09278;243;240.308544
SK Stuttgart;08111;1055;165.903719
LK Südliche Weinstraße;07337;122;110.386261
LK Südwestpfalz;07340;124;130.758929
SK Suhl;16054;137;372.393922
LK Teltow-Fläming;12072;296;174.12072
LK Tirschenreuth;09377;163;226.244344
LK Traunstein;09189;252;142.11675
SK Trier;07211;118;105.803027
LK Trier-Saarburg;07235;293;196.12043
LK Tübingen;08416;512;223.895609
LK Tuttlingen;08327;339;240.825199
LK Uckermark;12073;153;128.628717
LK Uelzen;03360;22;23.812359
SK Ulm;08421;217;171.149144
LK Unna;05978;623;157.765054
LK Unstrut-Hainich-Kreis;16064;461;450.935128
LK Unterallgäu;09778;276;189.898239
LK Vechta;03460;278;194.658787
LK Verden;03361;128;93.340042
LK Viersen;05166;627;209.795124
LK Vogelsbergkreis;06535;301;284.921859
LK Vogtlandkreis;14523;405;179.205919
LK Vorpommern-Greifswald;13075;244;103.555256
LK Vorpommern-Rügen;13073;121;53.849098
LK Vulkaneifel;07233;106;174.784817
LK Waldeck-Frankenberg;06635;490;313.287214
LK Waldshut;08337;247;144.44191
LK Warendorf;05570;532;191.477109
LK Wartburgkreis;16063;458;384.958058
SK Weiden i.d.OPf.;09363;150;350.934656
LK Weilheim-Schongau;09190;171;126.219755
SK Weimar;16055;149;228.429509
LK Weimarer Land;16071;127;154.583962
LK Weißenburg-Gunzenhausen;09577;152;160.449258
LK Werra-Meißner-Kreis;06636;107;106.331177
LK Wesel;05170;820;178.270171
LK Wesermarsch;03461;53;59.830893
LK Westerwaldkreis;07143;242;119.858943
LK Wetteraukreis;06440;660;214.05012
SK Wiesbaden;06414;403;144.717281
SK Wilhelmshaven;03405;96;126.16804
LK Wittenberg;15091;445;356.133906
LK Wittmund;03462;18;31.619998
LK Wolfenbüttel;03158;95;79.41683
SK Wolfsburg;03103;120;96.485515
SK Worms;07319;124;148.428335
LK Wunsiedel i.Fichtelgebirge;09479;106;145.894983
SK Wuppertal;05124;834;234.863419
SK Würzburg;09663;146;114.121344
LK Würzburg;09679;98;60.381265
LK Zollernalbkreis;08417;416;219.683888
SK Zweibrücken;07320;24;70.189805
LK Zwickau;14524;1912;606.980273
