Stand: 29.03.2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Sterbefälle nach Monaten und Altersgruppen 2016 bis 2021 in Deutschland;;;;;;;;;;;;;
;;;Ergebnisse für die Jahre 2020 und 2021 aus Rohdaten;;;;;;;;;;;;;
;;;Weiblich;;;;;;;;;;;;;

Lfd.;Jahr;Alter von ... bis;Monate;;;;;;;;;;;;Insgesamt;
Nr.;;unter … Jahren;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;;
65;2018;80-85;7485;7688;9827;7141;6689;6218;6794;7291;6400;6754;6821;7555;86663;
66;2018;85-90;9165;9209;12199;8531;7845;6959;7923;8300;7261;7564;7724;8411;101091;
67;2018;90-95;8221;8701;11162;7705;6940;6340;7234;7486;6527;6769;6846;7746;91677;
68;2018;95 u. mehr;3881;4175;5357;3608;3248;2953;3369;3429;3068;3221;3300;3653;43262;
69;2017;Insgesamt;49794;47444;42404;37007;38182;34995;36013;36496;34971;37922;37722;41557;474507;
70;2017;0-15;151;123;161;138;144;138;121;132;131;139;103;143;1624;
71;2017;15-30;112;111;85;100;110;100;101;121;115;96;103;107;1261;
72;2017;30-35;71;53;74;81;74;85;66;84;85;70;69;70;882;
73;2017;35-40;115;102;91;99;120;99;91;96;102;111;112;120;1258;
74;2017;40-45;191;163;145;134;150;172;155;163;160;142;146;166;1887;
75;2017;45-50;391;342;409;351;353;331;348;341;372;344;340;355;4277;
76;2017;50-55;746;644;732;639;672;679;658;634;602;694;682;752;8134;
77;2017;55-60;1159;1039;1006;992;1012;952;1041;1018;926;1019;1021;1086;12271;
78;2017;60-65;1591;1412;1448;1387;1449;1325;1419;1398;1287;1354;1378;1499;16947;
79;2017;65-70;2147;1999;1946;1699;1908;1792;1903;1891;1807;1823;1981;1999;22895;
80;2017;70-75;3039;2838;2588;2511;2420;2180;2308;2300;2304;2433;2319;2600;29840;
81;2017;75-80;6037;5739;5303;4805;4886;4411;4563;4562;4408;4708;4644;5070;59136;
82;2017;80-85;8273;8049;7182;6236;6627;6100;6259;6299;6050;6687;6645;7314;81721;
83;2017;85-90;11055;10583;9258;7855;8043;7213;7532;7752;7373;7913;7890;8803;101270;
84;2017;90-95;10187;9915;8252;6979;7071;6591;6543;6578;6369;7179;7049;7858;90571;
85;2017;95 u. mehr;4529;4332;3724;3001;3143;2827;2905;3127;2880;3210;3240;3615;40533;
86;2016;Insgesamt;41734;39165;42782;38108;37766;34808;36325;36093;35069;38322;39246;43177;462595;
87;2016;0-15;127;141;177;124;144;128;146;129;122;136;142;161;1677;
88;2016;15-30;103;104;119;79;107;87;106;98;121;115;122;92;1253;
89;2016;30-35;78;82;79;68;70;65;70;67;81;79;64;78;881;
90;2016;35-40;94;88;102;110;129;104;106;92;101;106;97;103;1232;
91;2016;40-45;193;164;205;170;179;154;151;163;174;181;168;174;2076;
92;2016;45-50;414;401;436;373;374;343;410;353;389;396;368;393;4650;
93;2016;50-55;749;701;750;667;740;652;677;662;633;692;641;721;8285;
94;2016;55-60;1097;1048;1106;989;978;1027;1003;998;985;1045;1036;1093;12405;
95;2016;60-65;1486;1387;1588;1400;1366;1397;1338;1366;1243;1329;1347;1473;16720;
96;2016;65-70;1991;1868;1996;1765;1873;1696;1776;1744;1731;1894;1842;2048;22224;
97;2016;70-75;2782;2689;2930;2579;2564;2340;2421;2324;2294;2464;2510;2724;30621;
98;2016;75-80;5228;4960;5397;4857;4728;4541;4644;4614;4434;4893;4975;5534;58805;
99;2016;80-85;6790;6454;7137;6238;6418;5803;6101;6207;5857;6410;6730;7341;77486;
100;2016;85-90;9388;8678;9314;8538;8138;7388;7825;7783;7700;8226;8579;9311;100868;
101;2016;90-95;8176;7517;8266;7261;7098;6441;6845;6679;6525;7316;7423;8381;87928;
102;2016;95 u. mehr;3038;2883;3180;2890;2860;2642;2706;2814;2679;3040;3202;3550;35484;
